operateur,annee,filiere,code_categorie_consommation,libelle_categorie_consommation,code_grand_secteur,libelle_grand_secteur,code_naf,libelle_secteur_naf2,conso,pdl,indqual,nombre_mailles_secretisees,code_region,libelle_region
Régie communale d'électricité de Gattieres,2021,Electricité,PRO,Petits professionels,T,Tertiaire,,0,677.14,68,1.0,0,93,Provence-Alpes-Côte d'Azur
Régie communale d'électricité de Gattieres,2021,Electricité,PRO,Petits professionels,X,Secteur Inconnu,,0,108.45866940976316,49,1.0,0,93,Provence-Alpes-Côte d'Azur
Régie communale d'électricité de Gattieres,2021,Electricité,RES,Résidentiel,R,Résidentiel,,0,726.47,2439,1.0,0,93,Provence-Alpes-Côte d'Azur
Régie communale d'électricité de Montois-la-Montagne,2021,Electricité,ENT,Entreprises,X,Secteur Inconnu,,0,169.40266048317898,1,0.914,0,44,Grand Est
Régie communale d'électricité de Montois-la-Montagne,2021,Electricité,RES,Résidentiel,R,Résidentiel,,0,169.09619789855248,1265,0.4,0,44,Grand Est
Régie communale d'électricité de Saulnes,2021,Electricité,ENT_PRO,0,X,Secteur Inconnu,,0,102.6517231463208,5,0.5,0,44,Grand Est
Régie communale d'électricité de Saulnes,2021,Electricité,RES,Résidentiel,R,Résidentiel,,0,111.01879859928344,1325,0.5,0,44,Grand Est
Régie communale de distribution d'électricité et d'eau Mitry Mory,2021,Electricité,ENT,Entreprises,T,Tertiaire,70.0,Activités des sièges sociaux ; conseil de gestion,392.7,1,1.0,0,11,Île-de-France
Régie communale de distribution d'électricité et d'eau Mitry Mory,2021,Electricité,PRO,Petits professionels,I,Industrie,,0,666.0,17,0.384,0,11,Île-de-France
Régie communale de distribution d'électricité et d'eau Mitry Mory,2021,Electricité,PRO,Petits professionels,T,Tertiaire,,0,144.88624943063587,267,0.484,0,11,Île-de-France
Régie communale du câble et d'électricité de Montataire,2021,Electricité,ENT,Entreprises,T,Tertiaire,36.0,"Captage, traitement et distribution d'eau",30.87012005316213,1,0.888,0,32,Hauts-de-France
Régie communale du câble et d'électricité de Montataire,2021,Electricité,ENT,Entreprises,T,Tertiaire,84.0,Administration publique et défense ; sécurité sociale obligatoire,123.29308574075962,1,0.889,0,32,Hauts-de-France
Régie communale du câble et d'électricité de Montataire,2021,Electricité,ENT,Entreprises,T,Tertiaire,93.0,"Activités sportives, récréatives et de loisirs",737.92,1,0.908,0,32,Hauts-de-France
Régie communale du câble et d'électricité de Montataire,2021,Electricité,PRO,Petits professionels,I,Industrie,,0,109.73,8,0.347,0,32,Hauts-de-France
Régie d'électricité Counozouls,2021,Electricité,RES,Résidentiel,R,Résidentiel,,0,158.47870942622214,150,0.0,0,76,Occitanie
Régie d'électricité d'Elbeuf,2021,Electricité,ENT,Entreprises,T,Tertiaire,47.0,"Commerce de détail, à l'exception des automobiles et des motocycles",142.98012741934832,3,0.953,0,28,Normandie
Régie d'électricité d'Elbeuf,2021,Electricité,ENT,Entreprises,T,Tertiaire,56.0,Restauration,370.61,1,0.68,0,28,Normandie
Régie d'électricité d'Elbeuf,2021,Electricité,ENT,Entreprises,T,Tertiaire,81.0,Services relatifs aux bâtiments et aménagement paysager,161.31,1,1.0,0,28,Normandie
Régie d'électricité d'Elbeuf,2021,Electricité,PRO,Petits professionels,T,Tertiaire,,0,169.58857220025158,516,0.542,0,28,Normandie
Régie d'électricité de Bitche,2021,Electricité,ENT,Entreprises,A,Agriculture,1.0,0,0.5969226302098052,1,0.0,0,44,Grand Est
Régie d'électricité de Bitche,2021,Electricité,ENT,Entreprises,T,Tertiaire,47.0,"Commerce de détail, à l'exception des automobiles et des motocycles",42.30841034213938,1,0.0,0,44,Grand Est
Régie du syndicat intercommunal d'électricité de la vallée de Thônes,2021,Electricité,ENT,Entreprises,T,Tertiaire,87.0,Hébergement médico-social et social,26.079186102461644,1,0.0,0,84,Auvergne-Rhône-Alpes
Régie du syndicat intercommunal d'électricité de la vallée de Thônes,2021,Electricité,PRO,Petits professionels,I,Industrie,,0,927.97,160,0.131,0,84,Auvergne-Rhône-Alpes
Régie électrique d'Avrieux,2021,Electricité,ENT,Entreprises,T,Tertiaire,55.0,Hébergement,36.57509227060543,1,1.0,0,84,Auvergne-Rhône-Alpes
Régie électrique d'Avrieux,2021,Electricité,PRO,Petits professionels,T,Tertiaire,,0,134.55772320042803,43,1.0,0,84,Auvergne-Rhône-Alpes
Régie électrique de La Cabanasse,2021,Electricité,ENT,Entreprises,T,Tertiaire,84.0,Administration publique et défense ; sécurité sociale obligatoire,539.89,2,1.0,0,76,Occitanie
Régie électrique de La Cabanasse,2021,Electricité,PRO,Petits professionels,I,Industrie,,0,72.4413795600651,2,1.0,0,76,Occitanie
Régie électrique de Sainte-Foy-Tarentaise,2021,Electricité,ENT,Entreprises,T,Tertiaire,55.0,Hébergement,0.2667210631408652,1,0.0,0,84,Auvergne-Rhône-Alpes
Régie électrique de Sainte-Foy-Tarentaise,2021,Electricité,PRO,Petits professionels,T,Tertiaire,,0,0.0,0,0.0,1,84,Auvergne-Rhône-Alpes
Régie électrique de Villaroger,2021,Electricité,PRO,Petits professionels,X,Secteur Inconnu,,0,183.49015071156325,45,0.803,0,84,Auvergne-Rhône-Alpes
